stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
7013,7013, Cambridge Terrace at Basin Reserve,CambridgeTce at Basin Reserve,-41.29855385,174.7809994,1,,0,,Pacific/Auckland
2521,2521, Mana Esplanade near Shops,Mana Esp near Shops,-41.10177436,174.8699817,6,,0,,Pacific/Auckland
8333,8333, Manor Drive (near 18),ManorDr at 18,-41.15844079,174.9844892,6,,0,,Pacific/Auckland
6344,6344, Coutts Street (near 203),CouttsSt at 203,-41.32319,174.803525,3,,0,,Pacific/Auckland
9226,9226, High Street at Kingston Street (near 805),HighSt at Kingston,-41.20016454,174.9336013,5,,0,,Pacific/Auckland
9995,9995, Seatoun Wharf,Seatoun Wharf,-41.31879167,174.8302334,3,,0,,Pacific/Auckland
6268,6268, Nevay Road (near 56),NevayRd at 56,-41.3085618,174.8288648,3,,0,,Pacific/Auckland
NATI,NATI, National Park Station,National Park Stn,-39.175816,175.393116,,,0,,Pacific/Auckland
1855,1855, Masterton - Church Street,Masterton-ChurchSt,-40.95000353,175.6621322,14,,0,,Pacific/Auckland
8696,8696, Gillespies Road (near 18),GillespiesRd at 18,-41.08915886,175.1002326,7,,0,,Pacific/Auckland
2954,2954, Titahi Bay School - Kura Street,Titahi Bay School,-41.11137749,174.8385747,6,,0,,Pacific/Auckland
9236,9236, Reynolds Street at Compton Crescent (near 17),ReynoldsSt at Compton,-41.1797363,174.9538635,5,,0,,Pacific/Auckland
7946,7946, National Hockey Stadium (Opposite),Hockey Stadium,-41.32644504,174.7803546,3,,0,,Pacific/Auckland
8993,8993, Jellicoe Street at Grey Street,JellicoeSt at GreySt,-41.22204075,175.4540074,13,,0,,Pacific/Auckland
3816,3816, Rajkot Terrace at Orissa Crescent,RajkotTce at Orissa,-41.23724546,174.7963971,3,,0,,Pacific/Auckland
3428,3428, Mark Avenue near Park,Mark Ave Park,-41.207884,174.818954,3,,0,,Pacific/Auckland
1847,1847, Queen Street - The Warehouse,QueenSt-Warehouse,-40.95511162,175.6530839,14,,0,,Pacific/Auckland
6245,6245, Miramar North Road (near 98),MiramarNthRd at 98,-41.30439702,174.8220094,3,,0,,Pacific/Auckland
7237,7237, Rotherham Terrace at Para Street (near 82),RotherhamTce at Para,-41.31267428,174.8225983,3,,0,,Pacific/Auckland
4393,4393, Beauchamp Street at Verviers St (near 79),BeauchampSt at 79,-41.29026673,174.7398122,3,,0,,Pacific/Auckland
1536,1536, Waimea Road (near 68),Waimea Rd (near 68),-40.86638855,175.0256617,10,,0,,Pacific/Auckland
8247,8247, High Street at Avalon Intermediate (Opposite),HighSt at AvalonInter,-41.18970192,174.9504635,5,,0,,Pacific/Auckland
2340,2340, Bedford Street (near 187),BedfordSt at 187,-41.1436093,174.8674762,5,,0,,Pacific/Auckland
8627,8627, Plateau Road (near 232),PlateauRd at 232,-41.09708942,175.1458434,8,,0,,Pacific/Auckland
4127,4127, Wadestown School - Wilton Road at Purakau Ave (near 6),Wadestown School,-41.26213039,174.7656847,2,,0,,Pacific/Auckland
7262,7262, Nevay Road- Prison Gates (near 223),NevayRd at PrisonGates,-41.29654719,174.8289015,3,,0,,Pacific/Auckland
7298,7298, Sidlaw Street at Bowes Crescent,SidlawSt at Bowes,-41.33394445,174.8217573,3,,0,,Pacific/Auckland
9403,9403, Forest Road at Elmslie Road (near 18),ForestRd at Elmsley,-41.16163065,175.0166131,6,,0,,Pacific/Auckland
